poesy,1
poet,3
poets,2
point,2
poison,2
policy,2
polish,1
politic,1
pomp,1
poor,14
poorly,1
possess,2
possesseth,1
possessing,1
possession,2
posterity,3
posting,1
potions,1
pour,1
poverty,2
power,8
powerful,2
powers,1
prais,1
praise,21
praised,1
praises,4
praising,1
pray,1
prayers,1
precious,6
predict,1
prefiguring,1
prepare,2
preposterously,1
presage,1
presagers,1
prescriptions,1
presence,2
present,7
presenteth,1
preserve,1
press,1
pretty,3
prevail,1
prevent,2
prey,2
prick,1
pride,10
prime,4
princes,3
print,1
prisoner,1
private,1
privilage,1
privilege,1
prize,3
prizing,1
proceed,1
proceeds,1
process,1
proclaims,1
profan,2
profane,1
profit,1
profound,1
prognosticate,1
progress,1
promise,1
prone,1
proof,3
prophecies,1
prophetic,1
propos,1
proud,12
prouder,1
proudest,1
proudly,1
prov,3
prove,12
proves,2
provide,1
provoke,1
pry,1
public,3
publish,1
pupil,1
purchas,1
pure,2
purest,1
purge,1
purging,1
purity,1
purple,1
purpos,1
purpose,5
pursuing,1
pursuit,2
put,7
puts,1
putt,1
pyramids,1
qualify,1
quality,1
queen,1
quenched,1
quest,2
question,2
quick,3
quicker,1
quickly,1
quiet,1
quietus,1
quill,2
quite,5
r,1
race,1
rack,1
rage,5
ragged,1
raiment,1
rain,3
rainy,1
rais,1
random,1
rang,1
rank,5
ranks,1
ransom,2
ransoms,1
rare,4
rarities,1
rather,1
raven,1
raz,2
razed,1
re,1
read,6
reap,1
rearward,1
reason,4
reasons,2
rebel,1
rebuk,1
receipt,1
receiv,1
receive,1
receives,3
receivest,1
recite,1
reckon,2
reckoning,1
recompense,1
record,3
records,1
recounting,1
recur,1
red,2
redeem,1
reeks,1
reeleth,1
refigur,1
refined,1
refuse,1
refusest,1
region,1
register,1
registers,1
rehearse,4
reign,3
reigns,1
releasing,1
relief,1
religious,1
remain,3
remains,1
remedy,2
remember,5
remembered,1
remembrance,2
remote,1
remov,3
remove,2
removed,1
remover,1
render,2
renew,2
renewest,1
rent,1
rents,1
repair,3
repay,1
repent,1
replete,2
report,4
repose,1
reproach,1
reproving,1
require,1
resemble,1
resort,1
respect,4
respects,1
respose,1
rest,6
restful,1
resting,1
restor,1
restore,1
resty,1
retention,1
return,5
revenues,1
review,1
reviewest,1
revolt,1
revolution,1
rhetoric,1
rhyme,4
rhymers,1
rich,11
riches,2
richly,1
rid,1
ride,3
rider,1
right,9
rightly,1
rights,1
rigour,1
rime,2
ring,2
riot,1
ripe,1
riper,2
rise,1
rising,1
rite,1
robbery,2
robe,1
robs,2
rocks,1
rolling,1
rondure,1
roof,1
room,1
root,1
rose,6
roses,3
rosy,1
rotten,2
rous,1
rud,1
rude,4
rudely,1
ruin,2
ruinate,1
ruining,1
ruminate,1
run,1
runn,1
runs,1
ruth,1
s,97
sable,1
sacred,2
sad,7
sadly,1
said,4
sail,3
saint,1
saith,1
sake,6
salutation,1
salve,2
salving,1
same,7
sang,1
sap,1
satire,1
sauces,1
saucy,2
sav,1
save,2
savour,1
saw,5
say,24
saying,1
says,5
scandal,1
scanted,1
scap,1
scarcely,1
scarlet,1
scope,5
score,1
scorn,3
scythe,4
sea,5
seal,2
seals,1
season,1
seasons,3
seat,2
second,3
seconds,1
secret,1
see,26
seeing,6
seek,4
seem,14
seeming,4
seemly,1
seems,1
seen,9
sees,1
seeting,1
seldom,1
self,29
sell,1
selling,1
semblance,1
send,3
sense,3
senses,1
sensual,2
separable,1
separation,1
sepulchres,1
sequent,1
servant,2
service,1
services,1
serving,1
sessions,1
